video_name,start,end,corresponding_word,issues
5085344787448740525,40.24,41.8,deptford,
5085344787448740525,74.84,75.88,lewisham,
5085344787448740525,81.48,83.48,?,
5085344787448740525,121.84,123.08,pepys,
5085344787448740525,250.32,252.2,?,
5085344787448740525,289.4,290.52,lewishamberkeley,
5085344787448740525,292.48,294.28,?,
5085344787448740525,345.32,347.8,les,
5085344787448740525,413.68,414.76,?,
5085344787448740525,469.36,471.16,lawrence,
5085344787448740525,536.68,537.76,corns,
5085344787448740525,546.68,547.84,matt,
5085344787448740525,556.88,559.32,wayne,
5085344787448740525,577.04,578.12,kellytianatyrell,
5085344787448740525,672.16,675.08,canary,
5085344787448740525,690.2,691.96,oyster,
5085344787448740525,921.08,922.96,lewisham,
5085344787448740525,925.84,927.2,berkeley,
5085344787448740525,945.36,946.6,october,
5085344787448740525,969.8,970.6,letters,
5085344787448740525,992.24,993.88,berkeley,
5085344787448740525,1048.88,1050.72,?,
5085344787448740525,1073.68,1075.84,?,
5085344787448740525,1108.08,1109.0,coffees,
5085344787448740525,1124.08,1125.88,deptford,
5085344787448740525,1152.24,1153.8,?,
5085344787448740525,1210.04,1211.68,leol,
5085344787448740525,1221.08,1223.52,nicky,Multiple events detected
5085344787448740525,1325.52,1326.92,leol,
5085344787448740525,1366.16,1368.04,premium,
5085344787448740525,1413.08,1414.32,?,
5085344787448740525,1429.52,1431.28,?,
5085344787448740525,1487.92,1489.0,wayne,
5085344787448740525,1500.12,1501.24,?,
5085344787448740525,1516.08,1518.76,?,
5085344787448740525,1557.96,1562.4,lamborghinislrmercedes,Multiple events detected
5085344787448740525,1565.12,1565.84,rover,
5085344787448740525,1566.8,1567.88,?,
5085344787448740525,1590.92,1595.68,lamborghini,Multiple events detected
5085344787448740525,1754.6,1756.12,?,
5085344787448740525,1778.16,1779.4,?,
5085344787448740525,1786.88,1788.2,leol,
5085344787448740525,1810.04,1811.08,donna,
5085344787448740525,1826.2,1827.88,?,
5085344787448740525,1857.92,1859.28,aragon,
5085344787448740525,1861.52,1862.88,les,
5085344787448740525,1923.04,1923.64,?,
5085344787448740525,2018.4,2018.88,?,No fingerspelling detected
5085344787448740525,2052.24,2053.12,?,
5085344787448740525,2066.6,2067.52,?,
5085344787448740525,2076.08,2076.88,?,
5085344787448740525,2113.04,2114.44,?,Multiple events detected
5085344787448740525,2129.6,2130.32,?,
5085344787448740525,2457.92,2459.04,?,
5085344787448740525,2560.28,2561.16,?,
5085344787448740525,2754.6,2756.2,?,
5085344787448740525,2769.56,2771.08,berkeley,
5085344787448740525,2776.24,2777.64,berkeley,
5085357672350628540,40.12,42.36,?,
5085357672350628540,140.08,141.84,queen,
5085357672350628540,146.64,149.6,?,Multiple events detected
5085357672350628540,155.0,156.04,?,
5085357672350628540,162.12,163.84,blenheim,
5085357672350628540,289.36,293.0,?,
5085357672350628540,300.08,301.08,britannia,
5085357672350628540,304.08,305.72,?,
5085357672350628540,344.56,345.6,?,
5085357672350628540,353.88,354.64,clock,
5085357672350628540,356.72,358.52,green,
5085357672350628540,372.96,373.76,?,Multiple events detected
5085357672350628540,432.92,434.8,blenheim,
5085357672350628540,444.56,447.4,?,
5085357672350628540,454.12,454.96,?,
5085357672350628540,463.44,465.64,?,
5085357672350628540,524.56,526.72,?,
5085357672350628540,528.08,529.68,?,
5085357672350628540,600.6,602.8,?,
5085357672350628540,618.8,620.04,?,
5085357672350628540,642.0,644.12,?,
5085357672350628540,673.24,676.2,?,
5085357672350628540,701.92,704.2,stourheadbath,
5085357672350628540,724.56,725.4,?,
5085357672350628540,794.64,798.6,?,
5085357672350628540,900.08,902.12,johnwoodrome,
5085357672350628540,933.36,934.4,acorns,
5085357672350628540,960.08,962.24,colosseum,
5085357672350628540,1012.08,1013.72,wood,
5085357672350628540,1084.24,1085.64,georgians,
5085357672350628540,1120.08,1121.44,?,
5085357672350628540,1139.92,1141.04,amelia,
5085357672350628540,1148.08,1149.8,sedan,
5085357672350628540,1296.24,1297.4,?,
5085357672350628540,1312.88,1314.08,avon,
5085357672350628540,1338.88,1340.04,?,
5085357672350628540,1436.24,1436.92,?,
5085357672350628540,1438.28,1439.76,locks,
5085357672350628540,1444.16,1445.04,locks,
5085357672350628540,1452.08,1457.24,avonsalisburyplain,Multiple events detected
5085357672350628540,1461.72,1463.12,canal,
5085357672350628540,1484.08,1484.96,?,
5085357672350628540,1497.8,1499.56,?,
5085357672350628540,1538.8,1539.92,?,
5085357672350628540,1550.68,1552.12,?,
5085357672350628540,1564.08,1564.72,?,
5085357672350628540,1600.56,1601.4,?,
5085357672350628540,1661.36,1662.16,?,
5085357672350628540,1685.12,1686.56,?,
5085357672350628540,1701.96,1704.2,?,
5085357672350628540,1708.08,1710.48,conveniences,
5085357672350628540,1717.52,1719.28,pinney,
5085357672350628540,1824.08,1825.0,?,
5085357672350628540,1864.16,1865.48,clifton,
5085357672350628540,1874.0,1875.08,?,
5085357672350628540,1912.08,1915.08,west,
5085357672350628540,1972.48,1974.8,methodism,
5085357672350628540,1976.6,1979.24,?,
5085357672350628540,1994.64,1995.92,wesley,
5085357672350628540,2039.92,2041.28,wesley,
5085357672350628540,2057.12,2058.68,?,
5085357672350628540,2063.04,2063.52,?,No fingerspelling detected
5085357672350628540,2163.96,2166.16,dartmoor,
5085357672350628540,2221.36,2223.36,?,
